position,country,name,club,boots,age,height
Goalkeeper,Australia,A. Faulkner,,,29,172
Defender,-,A. J. DeLaGarza,,Nike Phantom GX 2 Elite,37,175
Forward,Mali,A. Keita,,Nike Mercurial Superfly 9 Elite,30,178
Midfielder,Côte d'Ivoire,A. Razak,,Nike Tiempo Legend 10 Elite,31,180
Defender,United States,A.J. Soares,,Nike Tiempo Legend 10 Elite,36,183
Midfielder,Spain,Aarón,,Nike Mercurial Superfly 9 Elite,35,170
Goalkeeper,Gabon,Aaron Boupendza,,,28,180
Midfielder,Italy,Aaron Ciammaglichella,Torino FC,,19,180
Forward,Ireland,Aaron Connolly,Sunderland,adidas X Crazyfast Elite,24,174
Defender,England,Aaron Cresswell,West Ham United,adidas F50 Elite LL,35,170
Goalkeeper,Spain,Aarón Escandell,,Nike Mercurial Vapor 15 Elite,29,184
Defender,Scotland,Aaron Hickey,Brentford FC,adidas X Speedportal.1,22,185
Defender,Northern Ireland,Aaron Hughes,,,45,183
Midfielder,Germany,Aaron Hunt,,Mizuno Rebula 3,38,183
Defender,France,Aaron Kamardin,,Nike Mercurial Superfly VII Elite,22,183
Forward,England,Aaron Lennon,,Nike Mercurial Vapor 14 Elite,37,165
Forward,Belgium,Aaron Leya Iseka,,adidas X Crazyfast Elite,27,182
Defender,United States,Aaron Long,,adidas X Crazyfast Elite,32,186
Defender,Spain,Aarón Martín,Genoa CFC,Puma Future 7 Ultimate,27,178
Midfielder,Australia,Aaron Mooy,,Nike Tiempo Legend 10 Elite,34,174
Forward,Nigeria,Aaron Olanare,,Nike Mercurial Superfly 9 Elite,30,189
Forward,Germany,Aaron Opoku,,adidas X 18+,25,185
Goalkeeper,England,Aaron Ramsdale,Southampton,adidas Predator Elite FT,26,190
Midfielder,Wales,Aaron Ramsey,Cardiff City,adidas Predator Elite LL,34,178
Midfielder,England,Aaron Ramsey,Burnley,adidas X Crazyfast Elite,21,181
Forward,Germany,Aaron Seydel,,Puma Future Ultimate,28,199
Midfielder,England,Aaron Tshibola,,adidas Predator 19+,30,190
Defender,England,Aaron Wan-Bissaka,West Ham United,adidas F50 Elite LL,27,183
Forward,England,Aaron Wilbraham,,Nike Tiempo Legend 10 Elite,45,191
Midfielder,Germany,Aaron Zehnter,SC Paderborn 07,,20,180
Midfielder,Morocco,Aatif Chahechouhe,,Nike Mercurial Vapor 15 Elite,38,176
Defender,-,Abakar Sylla,RC Strasbourg Alsace,adidas X Crazyfast Elite,22,188
Defender,Azerbaijan,Abbas Hüseynov,Qarabağ FK,,29,179
Defender,-,Abdallah Ali Mohamed,,,25,178
Midfielder,Ghana,Abdallah Basit,,adidas X 18.1,25,180
Defender,Senegal,Abdallah Ndour,EA Guingamp,,31,186
Midfielder,Egypt,Abdallah Said,,adidas X Crazyfast Elite LL,39,176
Forward,Senegal,Abdallah Sima,Stade Brestois 29,adidas F50 Elite LL,23,188
Midfielder,Mauritania,Abdallahi Mahmoud,,adidas Predator Elite LL,24,189
Forward,Morocco,Abde Ezzalzouli,Real Betis Balompié,adidas X Crazyfast+,23,177
Forward,Algeria,Abde Rebbach,Deportivo Alavés,Puma Future 7 Ultimate,26,176
Defender,Morocco,Abdel Abqar,Deportivo Alavés,Nike Tiempo Legend 10 Elite,25,188
Forward,Panama,Abdel Aguilar,,,27,175
Defender,France,Abdel Malik Hsissane,,,28,179
Defender,Algeria,Abdel Medioub,,Nike Phantom GX 2 Elite,27,197
Midfielder,Morocco,Abdelaziz Barrada,,Nike Mercurial Vapor 15 Elite,35,179
Midfielder,Netherlands,Abdelhak Nouri,,Nike Mercurial Vapor 15 Elite,27,170
Defender,Morocco,Abdelhamid Ait Boudlal,Stade Rennais FC,,18,190
Defender,Morocco,Abdelhamid El Kaoutari,,Nike Mercurial Superfly 9 Elite,34,180
Midfielder,Morocco,Abdelhamid Sabiri,,Nike Mercurial Vapor 15 Elite By You,28,186
Midfielder,Morocco,Abdelilah Hafidi,,,32,169
Forward,Algeria,Abdelkader Ghezzal,,adidas F50 Adizero,40,183
Defender,Qatar,Abdelkarim Hassan,,Nike Mercurial Superfly 9 Elite,31,186
Forward,France,Abdellah Zoubir,Qarabağ FK,Nike Mercurial Vapor 15 Elite,33,180
Midfielder,Algeria,Abdelmoumene Djabou,,Nike Phantom GX 2 Elite,37,164
Midfielder,France,Abdelrafik Gérard,,,31,176
Forward,Qatar,Abdelrahman Moustafa,,,27,168
Forward,Germany,Abdenego Nankishi,SV Werder Bremen,,22,178
Forward,Morocco,Abderrazak Hamdallah,,Nike Mercurial Superfly VI Elite,34,182
Forward,Panama,Abdiel Arroyo,,Nike Mercurial Superfly 9 Elite,31,187
Forward,Spain,Abdón Prats,RCD Mallorca,adidas X Crazyfast Elite,32,181
Midfielder,France,Abdou Aziz Thiam,,,27,180
Defender,Senegal,Abdou Diallo,,Puma Ultra Ultimate,28,187
Midfielder,Morocco,Abdou Harroui,Hellas Verona,adidas X Crazyfast+,26,182
Midfielder,Mali,Abdou Traoré,,Nike Mercurial Superfly 9 Elite,36,180
Defender,Mauritania,Abdoul Ba,,,30,200
Forward,Guinea,Abdoul Camara,,Nike Mercurial Vapor 15 Elite,34,177
Forward,France,Abdoul Kader Bamba,,adidas X Crazyfast+,30,177
Defender,Mali,Abdoul Karim Danté,,,26,182
Defender,France,Abdoul Koné,Stade de Reims,,19,192
Midfielder,Niger,Abdoul Moumouni,,,22,177
Midfielder,Mali,Abdoul Sissoko,,Nike CTR360 Maestri,34,180
Forward,Burkina Faso,Abdoul Tapsoba,,,23,180
Forward,Mali,Abdoulay Diaby,,Nike Mercurial Superfly VI Elite,33,173
Defender,France,Abdoulay Konko,,Nike Mercurial Superfly 9 Elite,40,184
Defender,Senegal,Abdoulaye,,Nike Phantom GX 2 Elite,34,197
Defender,Senegal,Abdoulaye,,,34,195
Defender,-,Abdoulaye Bakayoko,,,22,185
Defender,-,Abdoulaye Bamba,Angers SCO,adidas X Crazyfast Elite,34,182
Midfielder,France,Abdoulaye Dabo,,Nike Phantom GX 2 Elite,23,181
Goalkeeper,Senegal,Abdoulaye Diallo,,Nike Hypervenom,32,191
Defender,Senegal,Abdoulaye Diédhiou,,,24,180
Midfielder,Mali,Abdoulaye Doucouré,Everton,adidas Predator Elite,32,183
Midfielder,France,Abdoulaye Kamara,,adidas Predator Elite,20,185
Midfielder,-,Abdoulaye Kanté,ESTAC Troyes,,19,180
Midfielder,Mali,Abdoulaye Keita,,Nike Mercurial Superfly 9 Elite,31,175
Defender,Senegal,Abdoulaye Ndiaye,Stade Brestois 29,Nike Phantom GX 2 Elite,22,195
Forward,Senegal,Abdoulaye Sané,,adidas X Crazyfast Elite,32,177
Forward,France,Abdoulaye Sidibé,,adidas X Crazyfast Elite LL,22,180
Defender,Guinea,Abdoulaye Sylla,,adidas X Speedflow.1,24,191
Midfielder,Guinea,Abdoulaye Touré,Le Havre AC,Puma Future 7 Ultimate,30,188
Forward,Togo,Abdoulrazak Boukari,,Nike Mercurial Superfly 9 Elite,37,182
Defender,Guinea,Abdourahmane Barry,Amiens SC,adidas X Crazyfast Elite LL,24,185
Defender,Portugal,Abdu Conté,BSC Young Boys,Puma Ultra Ultimate,26,183
Defender,Uzbekistan,Abdukodir Khusanov,RC Lens,Puma Future 7 Ultimate,20,186
Defender,Ghana,Abdul Mumin,Rayo Vallecano,Nike Phantom GT Elite,26,188
Goalkeeper,Ghana,Abdul Nurudeen,,Nike Mercurial Superfly 9 Elite,25,189
Defender,Ghana,Abdul Rahman Baba,PAOK Thessaloniki,Puma Ultra Ultimate,30,179
Midfielder,Italy,Abdul Yabré,,Nike Mercurial Superfly 9 Elite,29,180
Midfielder,Saudi Arabia,Abdulaziz Ali Al-Bishi,,,30,172
Midfielder,Qatar,Abdulaziz Hatem,,adidas X Speedflow.1,34,183
Defender,Turkey,Abdulcebrail Akbulut,,,23,178
Defender,Saudi Arabia,Abdulelah Al-Amri,,adidas X Crazyfast Elite,27,183
Midfielder,Saudi Arabia,Abdulelah Al-Malki,,adidas X Speedportal.1,30,170
Midfielder,Saudi Arabia,Abdulfattah Tawfiq Asiri,,,30,167
Midfielder,Turkey,Abdülkadir Ömür,Hull City,Nike Mercurial Vapor 15 Elite,25,168
Defender,Turkey,Abdülkerim Bardakcı,Galatasaray,Nike Mercurial Vapor XI Elite,30,185
Forward,Saudi Arabia,Abdullah Al-Hamdan,,,25,184
Midfielder,Saudi Arabia,Abdullah Al-Khaibari,,Nike Tiempo Legend 10 Elite,28,178
Goalkeeper,Saudi Arabia,Abdullah Al-Mayouf,,Nike Tiempo Legend 10 Elite,37,187
Midfielder,Turkey,Abdullah Aydın,,,24,175
Goalkeeper,Switzerland,Abdullah Laidani,,,21,194
Defender,Saudi Arabia,Abdullah Madu,,Nike Tiempo Legend VII Elite,31,186
Midfielder,Saudi Arabia,Abdullah Otayf,,adidas Predator Freak.1,32,177
Forward,Saudi Arabia,Abdullah Radif,,,21,187
Defender,Nigeria,Abdullahi Nura,,Nike Phantom GX 2 Elite,27,182
Midfielder,Nigeria,Abdullahi Shehu,,Nike Phantom GX 2 Elite,31,181
Midfielder,Spain,Abdulmajeed Al-Sulaiheem,,,27,181
Midfielder,Saudi Arabia,Abdulmalek Al-Khaibri,,adidas Copa 18.1,38,175
Forward,Saudi Arabia,Abdulrahman Al-Oboud,,Nike Mercurial Superfly 9 Elite,29,174
Forward,Saudi Arabia,Abdulrahman Gharib,,,27,174
Midfielder,Turkey,Abdussamed Karnucu,,,24,184
Midfielder,Spain,Abel,,adidas Predator Elite,42,182
Midfielder,Colombia,Abel Aguilar,,Nike Tiempo Legend 10 Elite,40,186
Defender,Spain,Abel Bretones,CA Osasuna,adidas F50 Elite,24,188
Forward,Uruguay,Abel Hernández,,Nike Mercurial Vapor 15 Elite,34,185
Defender,Spain,Abel Moreno,,,29,178
Forward,Spain,Abel Ruiz,Girona FC,adidas F50 Elite,24,182
Forward,-,Ablie Jallow,FC Metz,Nike Mercurial Vapor 15 Elite,26,166
Defender,Brazil,Abner,,Nike Mercurial Vapor 15 Elite,28,171
Defender,Brazil,Abner,Olympique Lyonnais,adidas F50 Elite LL,24,181
Defender,Iran,Abolfazl Jalali,,Nike Mercurial Vapor 14 Elite,26,177
Defender,Iran,Abolfazl Razzaghpour,,,27,178
Midfielder,France,Abou Ba,,,26,182
Midfielder,France,Abou Diaby,,Nike Tiempo Legend 10 Elite,38,188
Forward,Burkina Faso,Abou Ouattara,FC Sheriff Tiraspol,,25,177
Forward,France,Aboubacar Ali Abdallah,Nîmes Olympique,,18,183
Forward,Guinea,Aboubacar Camara,,Nike Mercurial Superfly 9 Elite,30,186
Defender,Senegal,Aboubacar Lô,FC Metz,,25,187
Forward,Mauritania,Aboubakar Kamara,,adidas X Crazyfast+,29,177
Midfielder,-,Aboubakar Keita,,,27,184
Forward,Mauritania,Aboubakary Koita,AEK Athens,,26,175
Midfielder,France,Aboud Aziz Thiam,,adidas X Crazyfast Elite,27,180
Defender,Spain,Abraham,,Nike Tiempo Legend 10 Elite,38,175
Midfielder,Spain,Abraham,,Nike Mercurial Superfly 9 Elite,39,177
Defender,Ghana,Abraham Frimpong,,Nike Magista Obra II Elite,31,184
Midfielder,Finland,Abukar Mohamed,,,26,186
Forward,Italy,Accursio Bentivegna,Pescara Calcio,adidas MESSI 15.1,28,170
Defender,Greece,Achilleas Poungouras,,adidas Copa Sense.1,29,187
Midfielder,Morocco,Achraf Bencharki,,,30,176
Defender,Morocco,Achraf Dari,,adidas Predator Elite,25,188
Defender,Morocco,Achraf Hakimi,Paris Saint-Germain,adidas F50 Elite,26,181
Defender,Morocco,Achraf Laâziri,,adidas X Crazyfast Elite,21,177
Defender,Morocco,Achraf Lazaar,,Nike Mercurial Vapor 15 Elite,32,184
Midfielder,Panama,Adalberto Carrasquilla,,,26,170
Forward,Venezuela,Adalberto Peñaranda,,Nike Mercurial Superfly 8 Elite,27,186
Forward,England,Adam Armstrong,Southampton,Puma Ultra 5 Ultimate,27,173
Defender,Morocco,Adam Aznou,Bayern München,adidas F50 Elite LL,18,178
Midfielder,Poland,Adam Bodzek,,Puma Future 7 Ultimate,39,184
Goalkeeper,Hungary,Ádám Bogdán,,adidas X 19.1,37,194
Forward,Poland,Adam Buksa,FC Midtjylland,Puma Future 7 Ultimate,28,191
Midfielder,England,Adam Clayton,,Nike Tiempo Legend 10 Elite,35,175
Forward,Denmark,Adam Daghim,Red Bull Salzburg,adidas F50 Elite LL,19,186
Goalkeeper,Wales,Adam Davies,Sheffield United,adidas Predator Elite,32,185
Defender,Scotland,Adam Devine,Rangers FC,adidas X Crazyfast+,21,190
Defender,Poland,Adam Dzwigala,,,29,185
Goalkeeper,Australia,Adam Federici,,Nike Phantom GX 2 Elite,39,188
Defender,Denmark,Adam Fogt,,,31,184
Midfielder,England,Adam Forshaw,,Nike Phantom VNM Elite,33,175
Defender,-,Adam Gabriel,FC Midtjylland,,23,190
Midfielder,Slovenia,Adam Gnezda Cerin,Panathinaikos Athens,adidas Copa Pure 2 Elite KT,25,180
Forward,Slovakia,Adam Goljan,,,23,185
Midfielder,Hungary,Ádám Gyurcsó,,,33,181
Defender,Wales,Adam Henley,,,30,178
Defender,Czech Republic,Adam Hloušek,,Nike Tiempo Legend 10 Elite,36,187
Forward,-,Adam Hlozek,1899 Hoffenheim,Nike Mercurial Superfly 10 Elite,22,188
Forward,Ireland,Adam Idah,Celtic FC,Nike Mercurial Vapor 16 Elite,23,190
Defender,England,Adam Jackson,,Nike Tiempo Legend V,30,187
Goalkeeper,Slovakia,Adam Jakubech,,Nike Mercurial Vapor 15 Elite,28,188
Midfielder,England,Adam Johnson,,adidas X Crazyfast Elite,37,175
Midfielder,-,Adam Karabec,Hamburger SV,,21,187
Midfielder,Scotland,Adam King,,,29,180
Midfielder,England,Adam Lallana,Southampton,Puma Future 7 Ultimate,36,172
Defender,Hungary,Ádám Lang,,Puma Future 7 Ultimate,31,188
Goalkeeper,Ghana,Adam Larsen Kwarasey,,Nike Tiempo Legend 10 Elite,37,188
Goalkeeper,England,Adam Legzdins,,adidas Nemeziz.1,38,190
Defender,England,Adam Lewis,,,25,175
Midfielder,Netherlands,Adam Maher,,Nike Phantom GT2 Elite DF,31,174
Defender,Montenegro,Adam Marusic,SS Lazio,Nike Mercurial Vapor 15 Elite,32,185
Defender,Morocco,Adam Masina,Torino FC,Nike Mercurial Superfly 8 Elite,31,191
Defender,Wales,Adam Matthews,,adidas X Crazyfast Elite,32,178
Midfielder,Poland,Adam Matuschyk,,adidas X Crazyfast Elite,35,183
Defender,Scotland,Adam Montgomery,Celtic FC,Nike Phantom GX 2 Elite,22,173
Midfielder,Hungary,Ádám Nagy,Spezia Calcio,Mizuno Morelia Neo IV Beta Japan,29,178
Forward,Slovakia,Adam Nemec,,,39,190
Defender,Slovakia,Adam Obert,Cagliari Calcio,Nike Mercurial Vapor 15 Elite,22,188
Midfielder,Algeria,Adam Oudjani,,adidas X Crazyfast Elite LL,23,185
Forward,Algeria,Adam Ounas,,Nike Mercurial Vapor 15 Elite,28,172
Midfielder,Hungary,Ádám Pintér,,Nike Mercurial Vapor 15 Elite,36,190
Midfielder,England,Adam Reach,,adidas Copa Pure 2 Elite KT,31,185
Forward,Poland,Adam Ryczkowski,,,27,178
Goalkeeper,England,Adam Smith,,,32,180
Defender,England,Adam Smith,Bournemouth,adidas F50 Elite,33,174
Goalkeeper,-,Adam Stejskal,,,22,189
Forward,Hungary,Ádám Szalai,,Nike Phantom GT2 Elite,37,193
Forward,Australia,Adam Taggart,,Nike Tiempo Legend 10 Elite,31,183
Forward,Australia,Adam Taggart,,,31,177
Goalkeeper,Hungary,Ádám Varga,Ferencváros TC,,25,191
Midfielder,-,Adam Vlkanova,,Puma Ultra Ultimate,30,169
Defender,England,Adam Webster,Brighton & Hove Albion,adidas Copa Pure 2 Elite KT,30,190
Midfielder,England,Adam Wharton,Crystal Palace,adidas Predator Elite FT,20,182
Goalkeeper,-,Adam Zadrazil,,,24,193
Forward,Slovakia,Adam Zrelak,,adidas Predator 19+,30,183
Forward,Mauritania,Adama Ba,,adidas X Crazyfast Elite,31,179
Defender,Spain,Adama Boiro,Athletic Club,adidas F50 Elite,22,183
Forward,-,Adama Bojang,,adidas X Crazyfast Elite,20,191
Forward,France,Adama Diakhaby,,Nike Mercurial Vapor 15 Elite,28,184
Forward,France,Adama Diakité,,,25,184
Forward,Norway,Adama Diomande,,Nike Mercurial Superfly,34,180
Midfielder,Burkina Faso,Adama Guira,,,36,185
Defender,Senegal,Adama Mbengue,,adidas Nemeziz 17.1,31,178
Forward,Mali,Adama Niane,,Nike Tiempo Legend 10 Elite,31,182
Forward,Senegal,Adama Sane,,adidas X 19+,24,178
Defender,France,Adama Soumaoro,,Nike Tiempo Legend 9 Elite,32,187
Midfielder,Mali,Adama Traoré,,Nike Mercurial Superfly 9 Elite,29,178
Forward,Spain,Adama Traoré,Fulham,Nike Mercurial Vapor X Elite,28,178
Defender,Côte d'Ivoire,Adama Traoré,,,34,170
Forward,Mali,Adama Traoré,Ferencváros TC,Nike Mercurial Vapor 15 Elite,29,178
Forward,France,Adamo Coulibaly,,Nike Mercurial Vapor 15 Elite,43,187
Defender,Burkina Faso,Adamo Nagalo,PSV Eindhoven,,22,188
Defender,Niger,Adamou Ibrahim Djibo,FC Sheriff Tiraspol,,26,178
Defender,Peru,Adán Balbín,,,38,180
Defender,Spain,Aday Benítez,,Puma Future 7 Ultimate,37,178
Midfielder,Morocco,Adel Taarabt,,adidas Copa Pure 2 Elite,35,178
Defender,Serbia,Adem Avdic,Red Star Belgrade,,17,173
Forward,Turkey,Adem Büyük,,Nike Phantom GX 2 Elite,37,177
Midfielder,Serbia,Adem Ljajic,,Nike Mercurial Vapor 15 Elite,33,182
Forward,Nigeria,Ademola Lookman,Atalanta BC,adidas F50 Elite LL,27,174
Defender,England,Aden Flint,,Nike Tiempo Legend VIII Elite,35,197
Defender,Brazil,Aderlan Santos,,Puma Ultra 1.1,35,193
Midfielder,-,Adi Nalic,,Nike Tiempo Legend 10 Elite,27,190
Midfielder,France,Adil Aouchiche,Sunderland,Nike Mercurial Vapor 15 Elite,22,181
Forward,England,Adil Nabi,,Nike Phantom GX 2 Elite,30,172
Defender,France,Adil Rami,,Nike Tiempo Legend 10 Elite,39,191
Forward,France,Adil Taoui,,,23,179
Defender,Slovenia,Adis Hodzic,,,25,185
Midfielder,Algeria,Adlène Guédioura,,adidas X Speedflow.1,39,178
Forward,Switzerland,Admir Mehmedi,,Nike Phantom GX 2 Elite,33,183
Forward,Zimbabwe,Admiral Muskwe,,,26,183
Goalkeeper,-,Adnan Ahmetovic,,,26,175
Forward,Belgium,Adnan Januzaj,UD Las Palmas,Nike Mercurial Superfly 9 Elite,29,186
Goalkeeper,-,Adnan Kanuric,,adidas X Speedportal.1,24,194
Defender,-,Adnan Kovacevic,,Nike Tiempo Legend 10 Elite,31,189
Forward,Morocco,Adnane Tighadouini,,Nike Mercurial Superfly 9 Elite,32,179
Forward,Japan,Ado Onaiwu,AJ Auxerre,Nike Tiempo Legend 9 Elite,29,180
Forward,Argentina,Adolfo Gaich,,adidas Copa Pure 2 Elite,25,190
Defender,Panama,Adolfo Machado,,adidas Predator Elite,39,181
Forward,Spain,Adri Carrasco,,,28,178
Defender,Spain,Adrià Altimira,CD Leganés,Puma Ultra Ultimate,23,170
Defender,Spain,Adrià Pedrosa,Sevilla FC,Puma Future 7 Ultimate,26,172
Goalkeeper,Spain,Adrián,Real Betis Balompié,adidas Copa Pure 2 Elite,38,190
Defender,Albania,Adrian Bajrami,SL Benfica,,22,188
Midfielder,Germany,Adrian Beck,1. FC Heidenheim 1846,adidas Nemeziz.1,27,186
Goalkeeper,Ecuador,Adrián Bone,,Lotto Zhero Gravity,36,179
Midfielder,Argentina,Adrián Calello,,adidas Predator Elite,37,177
Defender,Spain,Adrián Castellano,,,30,181
Forward,Spain,Adrián Colunga,,adidas X Crazyfast Elite,40,169
Forward,Spain,Adrián Dalmau,,,30,181
Defender,Spain,Adrián Diéguez,,Nike Tiempo Legend VII Elite,28,188
Forward,Spain,Adrián Embarba,Rayo Vallecano,adidas F50 Elite,32,173
Midfielder,Germany,Adrian Fein,,Nike Hypervenom Phantom II,25,187
Midfielder,Spain,Adrián González,,adidas Predator Elite,36,183
Forward,Austria,Adrian Grbic,,Nike Mercurial Vapor 15 Elite,28,188
Defender,Uruguay,Adrián Gunino,,Nike Magista Opus II Elite,35,175
Midfielder,Moldova,Adrian Hatman,,Nike Tiempo Legend VIII Elite,22,178
Defender,Spain,Adrián Jiménez,,,32,187
Forward,Spain,Adrián López,,Nike Mercurial Vapor 14 Elite,37,183
Defender,Jamaica,Adrian Mariappa,,Nike Phantom VNM Elite,38,178
Defender,Spain,Adrián Marín,SC Braga,Puma Future 7 Ultimate,28,181
Forward,Romania,Adrian Mazilu,,Nike Mercurial Vapor 15 Elite,19,186
Defender,Spain,Adrián Montoro,,,30,181
Defender,Norway,Adrian Nilsen Pereira,,Nike Mercurial Vapor XIII Elite,25,181
Midfielder,Germany,Adrian Oeynhausen,,adidas Predator Elite,22,178
Goalkeeper,Spain,Adrián Ortolá,,Nike Tiempo Legend 9 Elite,31,187
Midfielder,Romania,Adrian Popa,,,36,170
Forward,Colombia,Adrián Ramos,,adidas X Crazyfast Elite LL,38,185
Midfielder,Romania,Adrian Ropotan,,,38,183
Goalkeeper,France,Adrián Sahibeddine,,,30,179
Goalkeeper,Croatia,Adrian Semper,,adidas Predator Elite,26,194
Defender,Sweden,Adrian Skogmar,Malmö FF,,19,188
Midfielder,Poland,Adrian Stanilewicz,,adidas Nemeziz.1,24,181
Midfielder,Romania,Adrian Stoian,,Nike Mercurial Superfly 9 Elite,33,175
Goalkeeper,Spain,Adrián Victores,,,23,193
Defender,Brazil,Adriano,,Nike Phantom GX 2 Elite,40,172
Defender,Italy,Adriano Russo,,adidas Copa Mundial,37,184
Forward,-,Adriel Ba Loua,,,28,170
Midfielder,Belgium,Adrien Bongiovanni,,,25,173
Forward,France,Adrien Hunou,Angers SCO,adidas X Crazyfast Elite,30,179
Forward,France,Adrien Lebeau,,adidas X Crazyfast Elite,25,175
Defender,France,Adrien Louveau,FC Girondins de Bordeaux,adidas X Crazyfast Elite LL,24,190
Midfielder,France,Adrien Rabiot,Olympique de Marseille,Nike Phantom GX 2 Elite,29,188
Midfielder,France,Adrien Regattin,,Nike Magista Opus II Elite,33,166
Midfielder,Portugal,Adrien Silva,,adidas Copa Pure 2 Elite,35,175
Midfielder,France,Adrien Tamèze,Torino FC,adidas Copa Pure 2 Elite,30,182
Midfielder,France,Adrien Thomasson,RC Lens,adidas Copa Pure 2 Elite,31,175
Midfielder,France,Adrien Trébel,,adidas Predator Elite,33,174
Defender,France,Adrien Truffert,Stade Rennais FC,adidas Copa Pure 2 Elite,23,176
Midfielder,Brazil,Adryan,,Nike Phantom GX 2 Elite,30,175
Defender,Brazil,Adryelson,,Nike Phantom GX Elite,26,182
Midfielder,Brazil,Adson,,adidas X Crazyfast Elite,24,171
Forward,Spain,Adu Ares,,adidas X Crazyfast Elite LL,23,183
Forward,Angola,Afimico Pululu,,Nike Mercurial Vapor XIII Elite,25,175
Defender,Portugal,Afonso Figueiredo,,,32,170
Forward,Portugal,Afonso Moreira,,,19,176
Midfielder,Azerbaijan,Afran Izmailov,,,36,183
Midfielder,Ghana,Afriyie Acquah,,Puma Ultra 1.1,33,179
Forward,Azerbaijan,Agabala Ramazanov,,,31,185
Midfielder,Spain,Ager Aketxe,,Nike Mercurial Vapor 15 Elite,31,174
Midfielder,Macedonia,Agim Ibraimi,,Nike Magista Opus II Elite,36,178
Midfielder,Albania,Agim Zeka,,,26,182
Midfielder,-,Agon Elezi,VfL Bochum,,23,181
Forward,Albania,Agon Mehmeti,,Nike Hypervenom Phinish,35,182
Defender,Italy,Agostino Camigliano,,adidas Predator Elite,30,187
Goalkeeper,Hungary,Ágoston Kiss,,,23,187
Midfielder,Guinea,Aguibou Camara,PFC Ludogorets Razgrad,Nike Mercurial Superfly 9 Elite,23,170
Forward,Uruguay,Agustín Álvarez,Elche CF,Nike Phantom GX Elite,23,177
Forward,Uruguay,Agustín Canobbio,,Nike Mercurial Vapor 15 Elite,26,175
Goalkeeper,Argentina,Agustín Cousillas,,adidas Predator Elite,34,182
Midfielder,Argentina,Agustín Farías,,,37,178
Goalkeeper,Argentina,Agustín Marchesín,,adidas X Crazyfast Elite LL,36,188
Midfielder,Argentina,Agustín Martegani,,Nike Phantom GX Elite DF,24,185
Goalkeeper,Argentina,Agustín Orión,,adidas Predator Elite,43,190
Defender,Uruguay,Agustín Rogel,,,27,191
Forward,Germany,Agyemang Diawusie,,,26,183
Defender,Colombia,Ahmad Abdollahzadeh,,,34,184
Defender,Iran,Ahmad Alnameh,,Mizuno Morelia Neo,42,186
Midfielder,Libya,Ahmad Benali,,Nike Tiempo Legend VII Elite,32,173
Defender,Cameroon,Ahmad Ngouyamsa,,Nike Phantom GX 2 Elite,24,176
Midfielder,Iran,Ahmad Nourollahi,,Nike Mercurial Vapor XIII Elite,31,185
Forward,Iran,Ahmad Shariatzadeh,,,22,177
Goalkeeper,France,Ahmadou Dia,,adidas Nemeziz+,25,185
Midfielder,Tunisia,Ahmed Akaichi,,,30,179
Midfielder,Saudi Arabia,Ahmed Al-Ghamdi,,,23,173
Forward,Qatar,Ahmed Alaaeldin,,Nike Phantom GT2 Elite,31,177
Forward,Egypt,Ahmed Ali,,,38,176
Midfielder,Saudi Arabia,Ahmed Ashraf,,,31,176
Defender,Saudi Arabia,Ahmed Bamsaud,,,29,169
Goalkeeper,Egypt,Ahmed El Shenawy,,,33,188
Defender,Egypt,Ahmed Elmohamady,,Puma Ultra Ultimate,37,182
Defender,Egypt,Ahmed Fathi,,adidas X Crazyfast Elite LL,40,175
Forward,Egypt,Ahmed Gomaa,,,36,180
Midfielder,Egypt,Ahmed Hamoudi,,,34,173
Forward,Egypt,Ahmed Hassan,,Nike Mercurial Vapor 15 Elite,31,191
Defender,Egypt,Ahmed Hegazy,,Nike Tiempo Legend 10 Elite,33,193
Defender,Morocco,Ahmed Kantari,,Nike Magista Opus II Elite,39,185
Midfielder,France,Ahmed Kashi,,adidas Predator Elite,36,178
Midfielder,Tunisia,Ahmed Khalil,,Nike Mercurial Vapor 15 Elite,30,187
Forward,Turkey,Ahmed Kutucu,,adidas Nemeziz.1,24,181
Forward,Egypt,Ahmed Mostafa,,,27,173
Forward,Nigeria,Ahmed Musa,,Nike Mercurial Superfly 9 Elite,32,170
Goalkeeper,Morocco,Ahmed Reda Tagnaouti,,Nike Tiempo Legend 9 Elite,28,192
Midfielder,Tunisia,Ahmed Sassi,,Nike Magista Opus II Elite,31,178
Midfielder,France,Ahmed Sidibé,,,22,185
Defender,Algeria,Ahmed Touba,,adidas X Crazyfast Elite LL,26,190
Defender,Turkey,Ahmet Calik,,Nike Magista Opus II Elite,30,184
Defender,Germany,Ahmet Gürleyen,,adidas X Crazyfast Elite,25,193
Goalkeeper,Turkey,Ahmet Kivanc,,adidas Nemeziz.1,26,189
Defender,Turkey,Ahmetcan Kaplan,Ajax Amsterdam,Nike Mercurial Vapor 15 Elite,21,189
Forward,Turkey,Ahmethan Köse,,,28,182
Midfielder,United States,Aidan Morris,Middlesbrough FC,,23,175
Midfielder,Scotland,Aidan Nesbitt,,,27,178
Forward,Ireland,Aiden McGeady,,adidas X 99.1,38,180
Midfielder,Australia,Aiden O'Neill,,adidas ACE 17.1 Leather,26,178
Defender,Syria,Aiham Ousou,,adidas X Crazyfast Elite,25,186
Defender,Spain,Aihen Muñoz,Real Sociedad,Puma Future 7 Ultimate,27,175
